Rank,Team,Value,Revenue,EBITDA,Debt as % of value,Owner(s)
1,Dallas Cowboys,$11B,$1.22B,$550M,3%,Jerry Jones
2,Los Angeles Rams,$8B,$825M,$243M,44%,Stanley Kroenke
3,New England Patriots,$7.9B,$740M,$250M,3%,Robert Kraft
4,New York Giants,$7.85B,$723M,$185M,6%,"John Mara, Steve Tisch"
5,Las Vegas Raiders,$7.8B,$780M,$115M,18%,Mark Davis
6,San Francisco 49ers,$7.4B,$687M,$138M,3%,"Denise DeBartolo York, John York"
7,New York Jets,$7.35B,$677M,$145M,7%,"Woody Johnson, Christopher Johnson"
8,Miami Dolphins,$7.1B,$673M,$160M,7%,Stephen Ross
9,Philadelphia Eagles,$7B,$669M,$138M,3%,Jeffrey Lurie
10,Chicago Bears,$6.4B,$590M,$103M,2%,Virginia Halas McCaskey
11,Houston Texans,$6.35B,$640M,$122M,0%,Cal McNair
12,Green Bay Packers,$6.3B,$638M,$128M,2%,Publicly owned nonprofit
13,Washington Commanders,$6.25B,$602M,$137M,17%,Josh Harris
14,Denver Broncos,$6.2B,$613M,$108M,3%,Rob Walton
15,Seattle Seahawks,$6.11B,$600M,$82M,3%,Paul G. Allen Trust
16,Atlanta Falcons,$6.1B,$625M,$101M,16%,Arthur Blank
17,Pittsburgh Steelers,$6.08B,$596M,$105M,3%,"Arthur Rooney II, Daniel Rooney Trust"
18,Kansas City Chiefs,$6.07B,$590M,$90M,1%,Lamar Hunt family
19,Minnesota Vikings,$6.06B,$587M,$100M,9%,Wilf family
20,Tampa Bay Buccaneers,$6.05B,$640M,$134M,3%,Glazer family
21,Baltimore Ravens,$6.03B,$584M,$46M,4%,Steve Bisciotti
22,Cleveland Browns,$6.02B,$581M,$95M,5%,"Jimmy Haslam, Dee Haslam"
23,Tennessee Titans,$6.01B,$559M,$112M,8%,Amy Adams Strunk
24,Jacksonville Jaguars,$6B,$567M,$139M,5%,Shad Khan
25,Carolina Panthers,$5.9B,$571M,$84M,3%,David Tepper
26,Los Angeles Chargers,$5.83B,$564M,$93M,14%,Spanos family
27,Indianapolis Colts,$5.8B,$564M,$47M,9%,James Irsay
28,New Orleans Saints,$5.5B,$569M,$83M,5%,Gayle Benson
29,Detroit Lions,$5.4B,$546M,$75M,4%,William Clay Ford family
30,Buffalo Bills,$5.35B,$551M,$29M,7%,"Terry Pegula, Kim Pegula"
31,Arizona Cardinals,$5.3B,$543M,$85M,3%,Michael Bidwill
32,Cincinnati Bengals,$5.25B,$546M,$42M,2%,Mike Brown
